Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer
¿Cuál es el cmdlet de PowerShell utilizado para crear un nuevo directorio o archivo vacío?,Get-Item,New-Item,Set-Location,Remove-Item,20,2
¿Qué comando de PowerShell agrega texto a un archivo SIN sobreescribir su contenido anterior?,Set-Content,Out-File,Add-Content,Write-Host,20,3
¿Qué combinación de cmdlets permite listar procesos de Windows ordenados por consumo de CPU?,Get-Service | Sort-Object CPU,tasklist | Sort-Object CPU,Get-Process | Where-Object CPU,Get-Process | Sort-Object CPU,20,4
¿En qué ruta del Registro de Windows se encuentran configuraciones visuales del escritorio como MenuShowDelay?,HKLM\SOFTWARE\Microsoft\Windows,HKCU\Control Panel\Desktop,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,HKCR\Desktop,20,2
¿Cuál es la diferencia principal entre un PROGRAMA y un PROCESO?,Son términos completamente sinónimos,Un proceso es el archivo .exe guardado en disco y el programa ya está en RAM,Un programa es el conjunto de instrucciones en disco y un proceso es ese programa cargado en memoria y ejecutándose,Un programa solo existe en RAM y un proceso solo existe en el disco,20,3
¿Qué cmdlet de PowerShell se usa para listar todos los servicios del sistema operativo?,Get-Process,Get-Command,Get-Item,Get-Service,20,4
¿En qué pestaña del Administrador de Tareas se puede ver el porcentaje de uso de CPU y RAM en tiempo real?,Detalles,Servicios,Rendimiento,Aplicaciones,20,3
¿En qué ruta del Registro de Windows se listan los programas configurados para iniciarse automáticamente con el usuario actual?,HKCU\Control Panel\Desktop,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion,HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer,20,2
¿Qué herramienta de Windows se abre ejecutando el comando devmgmt.msc?,Monitor de Recursos,Visor de Eventos,Editor del Registro,Administrador de Dispositivos,20,4
¿Cuál de estas opciones describe correctamente a un SERVICIO de Windows en comparación con un proceso de usuario?,Los servicios siempre tienen interfaz gráfica visible,Los servicios solo pueden iniciarse manualmente por el usuario,Los servicios no pueden ser monitoreados desde ninguna herramienta,Los servicios corren en segundo plano y generalmente sin interfaz gráfica,20,4
¿Qué cmdlet de PowerShell permite ver los metadatos de un archivo como su fecha de creación y tamaño en bytes?,Get-Content,Get-Service,Get-Item,Get-Process,20,3
¿Qué herramienta gráfica de Windows permite ver en tiempo real qué proceso realiza más lectura/escritura en disco?,Administrador de Tareas (taskmgr.exe),Visor de Eventos (eventvwr.msc),Editor del Registro (regedit),Monitor de Recursos (resmon.exe),20,4
¿Qué comando se escribe en Ejecutar (Win+R) para abrir el Monitor de Confiabilidad de Windows?,resmon.exe,eventvwr.msc,perfmon /rel,taskmgr.exe,20,3
¿Qué son los METADATOS de un archivo?,El texto o contenido guardado dentro del archivo,Los comentarios que el usuario agrega manualmente,La extensión del archivo (.txt .exe .ps1),Información SOBRE el archivo: fecha de creación tamaño y permisos,20,4
Cuando un proceso solicita una operación de E/S (leer del disco o enviar por red) ¿a qué estado pasa según el diagrama de ciclo de vida?,Estado Listo (Ready),Estado Bloqueado / En Espera,Estado Ejecutándose (Running),Estado Terminado (Terminated),20,2
